City,State,Speed,Company,Cord,Code,Longitude,Latitude
Ewbank da Câmara,MG,72.31,CLARO,"[-43.5105, -21.5505]",3125002,-43.5105,-21.5505
Extrema,MG,76.23,CLARO,"[-46.2555, -22.8015]",3125101,-46.2555,-22.8015
Extremoz,RN,68.73,VIVO,"[-35.1945, -5.7015]",2403608,-35.1945,-5.7015
Exu,PE,40.28,VIVO,"[-39.7215, -7.5105]",2605301,-39.7215,-7.5105
Fagundes,PB,59.46,VIVO,"[-35.7795, -7.3575]",2506103,-35.7795,-7.3575
Fagundes Varela,RS,79.85,VIVO,"[-51.7005, -28.8855]",4307864,-51.7005,-28.8855
Fama,MG,52.1,CLARO,"[-45.8235, -21.4155]",3125200,-45.8235,-21.4155
Faria Lemos,MG,38.91,VIVO,"[-42.0165, -20.8035]",3125309,-42.0165,-20.8035
Farias Brito,CE,21.61,CLARO,"[-39.5595, -6.9345]",2304301,-39.5595,-6.9345
Faro,PA,31.69,VIVO,"[-56.7495, -2.1645]",1503002,-56.7495,-2.1645
Farol,PR,37.47,CLARO,"[-52.6185, -24.0975]",4107553,-52.6185,-24.0975
Farroupilha,RS,46.77,CLARO,"[-51.3225, -29.2275]",4307906,-51.3225,-29.2275
Fartura,SP,62.44,TIM,"[-49.5045, -23.3775]",3515400,-49.5045,-23.3775
Fartura do Piauí,PI,57.56,VIVO,"[-42.7905, -9.4815]",2203750,-42.7905,-9.4815
Faxinal,PR,71.63,CLARO,"[-51.3225, -24.0075]",4107603,-51.3225,-24.0075
Faxinal do Soturno,RS,53.58,CLARO,"[-53.4465, -29.5785]",4308003,-53.4465,-29.5785
Faxinal dos Guedes,SC,33.42,VIVO,"[-52.2585, -26.8515]",4205308,-52.2585,-26.8515
Faxinalzinho,RS,62.65,VIVO,"[-52.6725, -27.4275]",4308052,-52.6725,-27.4275
Fazenda Nova,GO,48.65,CLARO,"[-50.7825, -16.1865]",5207600,-50.7825,-16.1865
Fazenda Rio Grande,PR,88.53,TIM,"[-49.2975, -25.6455]",4107652,-49.2975,-25.6455
Fazenda Vilanova,RS,41.44,VIVO,"[-51.8265, -29.5875]",4308078,-51.8265,-29.5875
Feijó,AC,104.41,CLARO,"[-70.3575, -8.1675]",1200302,-70.3575,-8.1675
Feira Grande,AL,45.605000000000004,VIVO,"[-36.6795, -9.9045]",2702603,-36.6795,-9.9045
Feira Nova,PE,72.43,CLARO,"[-35.3835, -7.9425]",2605400,-35.3835,-7.9425
Feira Nova,SE,43.23,VIVO,"[-37.3005, -10.2465]",2802205,-37.3005,-10.2465
Feira Nova do Maranhão,MA,41.66,CLARO,"[-46.6875, -6.9615]",2104073,-46.6875,-6.9615
Feira da Mata,BA,76.35,VIVO,"[-44.2845, -14.2065]",2910776,-44.2845,-14.2065
